Primary code,UNS,Category,High_Cu,Low_Cu,High_Zn,Low_Zn,High_Pb,Low_Pb,High_Sn,Low_Sn,High_Ni,Low_Ni,High_Al,Low_Al,High_Mn,Low_Mn,High_Fe,Low_Fe,,,,,,
CW501L,C22000,Wire,91,89,11,8.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW502L,C23000,PSS,86,84,16,13.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW502L,C23000,Tube,86,84,16,13.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW502L,C23000,Wire,86,84,16,13.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW503L,C24000,PSS,81,79,21,18.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW503L,C24000,RBS,81,79,21,18.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW503L,C24000,Tube,81,79,21,18.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW503L,C24000,Wire,81,79,21,18.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW504L,C25600,RBS,73,71,28.8,26.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CW505L,C26000,PSS,71,69,31,28.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW505L,C26000,RBS,71,69,31,28.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW505L,C26000,Wire,71,69,31,28.48,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW506L,C26800,PSS,68,66,33.8,31.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CW506L,C26800,RBS,68,66,33.8,31.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CW507L,C27000,PSS,65.5,63.5,36.5,33.98,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW507L,C27000,RBS,65.5,63.5,36.5,33.98,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW507L,C27000,Wire,65.5,63.5,36.5,33.98,0.05,0,0.1,0,0.3,0,0.02,0,0,0,0.05,0,,,,,,
CW508L,C27400,PSS,64,62,38,35.35,0.1,0,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW508L,C27400,Tube,64,62,38,35.35,0.1,0,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW508L,C27400,Wire,64,62,38,35.35,0.1,0,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW509L,C28000,PSS,61.5,59.5,40.5,37.55,0.2,0,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW509L,C28000,RBS,61.5,59.5,40.5,37.55,0.2,0,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW509L,C28000,Tube,61.5,59.5,40.5,37.55,0.2,0,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW509L,C28000,Wire,61.5,59.5,40.5,37.55,0.2,0,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW600N,C34400,PSS,64,62.5,36.7,33.85,1.6,0.8,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW601N,C34000,PSS,63.5,62,36.4,33.45,2.5,1.6,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW601N,C34000,RBS,63.5,62,36.4,33.45,2.5,1.6,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW601N,C34000,Tube,63.5,62,36.4,33.45,2.5,1.6,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW601N,C34000,Wire,63.5,62,36.4,33.45,2.5,1.6,0.1,0,0.3,0,0.05,0,0,0,0.1,0,,,,,,
CW602N,C35300,RBS,63,61,37.3,33.55,2.8,1.7,0.1,0,0.3,0,0.05,0,0.1,0,0.1,0,,,,,,
CW603N,C35600,RBS,62,60,37.5,33.65,3.5,2.5,0.2,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW603N,C35600,Wire,62,60,37.5,33.65,3.5,2.5,0.2,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW604N,C34400,PSS,64,62,37.7,35,0.8,0.1,0,0,0,0,0,0,0,0,0,0,,,,,,
CW604N,C34400,Tube,64,62,37.7,35,0.8,0.1,0,0,0,0,0,0,0,0,0,0,,,,,,
CW605N,C35000,RBS,62,61,38,36.2,1.6,0.8,0,0,0,0,0,0,0,0,0,0,,,,,,
CW605N,C35000,Tube,62,61,38,36.2,1.6,0.8,0,0,0,0,0,0,0,0,0,0,,,,,,
CW606N,C35300,RBS,62,61,37.4,34.75,2.5,1.6,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW606N,C35300,Wire,62,61,37.4,34.75,2.5,1.6,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW607N,C37000,RBS,61,60,39,37.2,1.6,0.8,0,0,0,0,0,0,0,0,0,0,,,,,,
CW607N,C37000,Tube,61,60,39,37.2,1.6,0.8,0,0,0,0,0,0,0,0,0,0,,,,,,
CW608N,C37700,PSS,61,60,38.4,35.75,2.5,1.6,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW608N,C37700,RBS,61,60,38.4,35.75,2.5,1.6,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW610N,C36500,PSS,60.5,59,40.8,37.95,0.8,0.2,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW610N,C36500,RBS,60.5,59,40.8,37.95,0.8,0.2,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW610N,C36500,Wire,60.5,59,40.8,37.95,0.8,0.2,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW611N,C37000,RBS,60,59,40.2,37.65,1.6,0.8,0.2,0,0.3,0,0.05,0,0,0,0.2,0,,,,,,
CW612N,C38000,PSS,60,59,39.4,36.55,2.5,1.6,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW612N,C38000,RBS,60,59,39.4,36.55,2.5,1.6,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW612N,C38000,Wire,60,59,39.4,36.55,2.5,1.6,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW613N,C38000,PSS,60,59,39,36.8,2.5,1.6,0.5,0.2,0,0,0,0,0,0,0,0,,,,,,
CW613N,C38000,RBS,60,59,39,36.8,2.5,1.6,0.5,0.2,0,0,0,0,0,0,0,0,,,,,,
CW614N,C38500,RBS,59,57,40.5,36.55,3.5,2.5,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW614N,C38500,Wire,59,57,40.5,36.55,3.5,2.5,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW615N,C38500,PSS,59,57,40.1,36.8,3.5,2.5,0.5,0.2,0,0,0,0,0,0,0,0,,,,,,
CW616N,C37710,PSS,59,57,41.75,38.5,2,1,0,0,0,0,0.3,0.05,0,0,0,0,,,,,,
CW617N,C37800,RBS,59,57,41.4,37.55,2.5,1.6,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW617N,C37800,Wire,59,57,41.4,37.55,2.5,1.6,0.3,0,0.3,0,0.05,0,0,0,0.3,0,,,,,,
CW618N,C38000,RBS,59,57,41.2,37.8,3,1.6,0,0,0,0,0,0,0,0,0,0,,,,,,
CW619N,C38000,PSS,59,57,41,37.8,2.5,1.6,0.5,0.2,0,0,0,0,0,0,0,0,,,,,,
CW619N,C38000,RBS,59,57,41,37.8,2.5,1.6,0.5,0.2,0,0,0,0,0,0,0,0,,,,,,
CW620N,C37710,RBS,59,57,41.95,38.7,1.6,0.8,0,0,0,0,0.5,0.05,0,0,0,0,,,,,,
CW621N,C33500,RBS,59,57,42.55,39.5,0.8,0.2,0,0,0,0,0.5,0.05,0,0,0,0,,,,,,
CW622N,NA,RBS,57,55,43.95,40.7,1.6,0.8,0,0,0,0,0.5,0.05,0,0,0,0,,,,,,
