,Year,Secondary ratio,CU,SR,TCRC,SP2
Montreal East (CCR),2009,0,0.7518810810810812,0.06506204258867848,484.40437246063215,733.937472228944
Montreal East (CCR),2010,0,0.7467837837837837,0.01158119503456263,295.48463456469347,965.4771784642735
Montreal East (CCR),2011,0,0.7134243243243242,,344.9625421973603,1184.76825799962
Montreal East (CCR),2012,0,0.7176702702702703,,377.1973518924253,910.701977977671
Montreal East (CCR),2013,0,0.8432432432432433,,416.49708654295705,620.9346932352228
Montreal East (CCR),2014,0,0.8513513513513513,,538.6579380491202,637.6917506905429
Montreal East (CCR),2015,0,0.8681081081081081,,625.7403040522361,626.0847314924467
Montreal East (CCR),2016,0,0.8378378378378378,,562.2139195262345,526.1823495711269
Montreal East (CCR),2017,0,0.8378378378378378,,523.0624830203443,756.6289598528965
Cobre de Mexico,1992,0,0.93,0.09925558312655086,987.505982760015,
Cobre de Mexico,1993,0,0.7133333333333334,0.05700934579439252,959.1938700091315,643.4263428857876
