,Year,Secondary ratio,CU,SR,TCRC,SP2
Hangzhou Fuchunjiang,2017,0,0.8888888888888888,,523.0624830203443,756.6289598528965
Harbin,1992,0,0.9,1.0,987.505982760015,
Harbin,1993,0,0.9,1.0,959.1938700091315,643.4263428857876
Harbin,1994,0,1.068,1.0,841.3371092476353,710.6444034910924
Harbin,1995,0,0.8316666666666667,1.0,659.2490789967804,1003.1611059604347
Harbin,1996,0,0.677,1.0,839.2436749351455,694.3183006954018
Harbin,1997,0,0.6546666666666666,1.0,906.3963774982449,686.8798854471715
Harbin,1998,0,0.797,1.0,820.28826929231,498.08672926585473
Harbin,1999,0,1.0,1.0,557.9950901626388,452.20109928406646
Harbin,2000,0,1.0,1.0,555.4588259029698,533.8081174976221
Harbin,2001,0,0.39999999999999997,1.0,585.971062800398,398.2247760378723
Harbin,2002,0,,,528.7539362675177,358.9698750922221
Harbin,2003,0,,,437.7020239493989,303.6604734259495
Harbin,2004,0,,,314.71018578087495,642.7808068011332
Harbin,2005,0,,,605.9993462162437,702.623222632848
Harbin,2006,0,,,654.0771892519688,1222.9212106889845
Harbin,2007,0,,,400.97019232272004,1066.9176514175442
Harbin,2008,0,,,289.6092544923923,870.8586548308886
Harbin,2009,0,,,484.40437246063215,733.937472228944
Harbin,2010,0,,,295.48463456469347,965.4771784642735
Harbin,2011,0,,,344.9625421973603,1184.76825799962
Harbin,2012,0,,,377.1973518924253,910.701977977671
Harbin,2013,0,,,416.49708654295705,620.9346932352228
Harbin,2014,0,,,538.6579380491202,637.6917506905429
Harbin,2015,0,,,625.7403040522361,626.0847314924467
Harbin,2016,0,,,562.2139195262345,526.1823495711269
Harbin,2017,0,,,523.0624830203443,756.6289598528965
Jiading,1992,0,,,987.505982760015,
Jiading,1993,0,,,959.1938700091315,643.4263428857876
Jiading,1994,0,,,841.3371092476353,710.6444034910924
Jiading,1995,0,,,659.2490789967804,1003.1611059604347
Jiading,1996,0,1.0,1.0,839.2436749351455,694.3183006954018
Jiading,1997,0,0.7407407407407407,1.0,906.3963774982449,686.8798854471715
Jiading,1998,0,0.2903225806451613,0.9444444444444444,820.28826929231,498.08672926585473
Jiading,1999,0,0.2903225806451613,1.0,557.9950901626388,452.20109928406646
Jiading,2000,0,,,555.4588259029698,533.8081174976221
Jiading,2001,0,,,585.971062800398,398.2247760378723
Jiading,2002,0,,,528.7539362675177,358.9698750922221
Jiading,2003,0,,,437.7020239493989,303.6604734259495
Jiading,2004,0,,,314.71018578087495,642.7808068011332
Jiading,2005,0,,,605.9993462162437,702.623222632848
Jiading,2006,0,,,654.0771892519688,1222.9212106889845
Jiading,2007,0,,,400.97019232272004,1066.9176514175442
Jiading,2008,0,,,289.6092544923923,870.8586548308886
Jiading,2009,0,,,484.40437246063215,733.937472228944
Jiading,2010,0,,,295.48463456469347,965.4771784642735
Jiading,2011,0,,,344.9625421973603,1184.76825799962
Jiading,2012,0,,,377.1973518924253,910.701977977671
Jiading,2013,0,,,416.49708654295705,620.9346932352228
Jiading,2014,0,,,538.6579380491202,637.6917506905429
Jiading,2015,0,,,625.7403040522361,626.0847314924467
Jiading,2016,0,,,562.2139195262345,526.1823495711269
Jiading,2017,0,,,523.0624830203443,756.6289598528965
Jiangsu Jinhui,1992,0,,,987.505982760015,
Jiangsu Jinhui,1993,0,,,959.1938700091315,643.4263428857876
Jiangsu Jinhui,1994,0,,,841.3371092476353,710.6444034910924
Jiangsu Jinhui,1995,0,,,659.2490789967804,1003.1611059604347
Jiangsu Jinhui,1996,0,,,839.2436749351455,694.3183006954018
Jiangsu Jinhui,1997,0,,,906.3963774982449,686.8798854471715
Jiangsu Jinhui,1998,0,,,820.28826929231,498.08672926585473
Jiangsu Jinhui,1999,0,0.5476190476190477,1.0,557.9950901626388,452.20109928406646
Jiangsu Jinhui,2000,0,0.47619047619047616,1.0,555.4588259029698,533.8081174976221
Jiangsu Jinhui,2001,0,0.2857142857142857,1.0,585.971062800398,398.2247760378723
Jiangsu Jinhui,2002,0,0.6595238095238095,1.0,528.7539362675177,358.9698750922221
Jiangsu Jinhui,2003,0,0.6320238095238095,1.0,437.7020239493989,303.6604734259495
Jiangsu Jinhui,2004,0,,,314.71018578087495,642.7808068011332
Jiangsu Jinhui,2005,0,,,605.9993462162437,702.623222632848
Jiangsu Jinhui,2006,0,,,654.0771892519688,1222.9212106889845
Jiangsu Jinhui,2007,0,,,400.97019232272004,1066.9176514175442
Jiangsu Jinhui,2008,0,,,289.6092544923923,870.8586548308886
Jiangsu Jinhui,2009,0,,,484.40437246063215,733.937472228944
Jiangsu Jinhui,2010,0,,,295.48463456469347,965.4771784642735
Jiangsu Jinhui,2011,0,,,344.9625421973603,1184.76825799962
Jiangsu Jinhui,2012,0,,,377.1973518924253,910.701977977671
Jiangsu Jinhui,2013,0,,,416.49708654295705,620.9346932352228
Jiangsu Jinhui,2014,0,,,538.6579380491202,637.6917506905429
